candidate_index,pair_index,cell_accuracy,note,input,target,pred
0,0,36.0000,ok,"[[0,0,8,6,0,6,0,8,0,8],[8,5,5,5,5,5,5,5,5,0],[0,5,0,8,8,6,6,0,5,8],[6,5,6,6,6,8,0,6,5,8],[0,5,6,6,8,6,0,6,5,8],[6,5,8,8,8,6,8,0,5,8],[6,5,6,8,6,8,6,8,5,8],[0,5,6,0,6,8,8,8,5,8],[8,5,5,5,5,5,5,5,5,6],[8,8,8,0,8,8,6,0,6,6]]","[[0,0,8,6,0,6,0,8,0,8],[8,5,5,5,5,5,5,5,5,0],[0,5,0,6,6,8,8,0,5,8],[6,5,8,8,8,6,0,8,5,8],[0,5,8,8,6,8,0,8,5,8],[6,5,6,6,6,8,6,0,5,8],[6,5,8,6,8,6,8,6,5,8],[0,5,8,0,8,6,6,6,5,8],[8,5,5,5,5,5,5,5,5,6],[8,8,8,0,8,8,6,0,6,6]]","[[8,5,5,5,5,5,5,5,5,0],[0,5,0,8,8,6,6,0,5,8],[6,5,6,6,6,8,0,6,5,8],[0,5,6,6,8,6,0,6,5,8],[6,5,8,8,8,6,8,0,5,8],[6,5,6,8,6,8,6,8,5,8],[0,5,6,0,6,8,8,8,5,8],[8,5,5,5,5,5,5,5,5,6],[8,8,8,0,8,8,6,0,6,6],[0,0,8,6,0,6,0,8,0,8]]"
1,0,33.0000,ok,"[[0,0,8,6,0,6,0,8,0,8],[8,5,5,5,5,5,5,5,5,0],[0,5,0,8,8,6,6,0,5,8],[6,5,6,6,6,8,0,6,5,8],[0,5,6,6,8,6,0,6,5,8],[6,5,8,8,8,6,8,0,5,8],[6,5,6,8,6,8,6,8,5,8],[0,5,6,0,6,8,8,8,5,8],[8,5,5,5,5,5,5,5,5,6],[8,8,8,0,8,8,6,0,6,6]]","[[0,0,8,6,0,6,0,8,0,8],[8,5,5,5,5,5,5,5,5,0],[0,5,0,6,6,8,8,0,5,8],[6,5,8,8,8,6,0,8,5,8],[0,5,8,8,6,8,0,8,5,8],[6,5,6,6,6,8,6,0,5,8],[6,5,8,6,8,6,8,6,5,8],[0,5,8,0,8,6,6,6,5,8],[8,5,5,5,5,5,5,5,5,6],[8,8,8,0,8,8,6,0,6,6]]","[[8,0,5,5,5,5,5,5,5,0],[0,5,8,8,6,6,0,5,8,8],[5,6,6,6,6,8,0,6,5,8],[5,6,8,8,8,6,8,0,5,8],[5,6,6,8,6,8,6,8,5,8],[0,5,6,0,6,8,8,8,5,8],[5,5,5,5,5,5,5,5,5,6],[8,8,8,0,8,8,6,0,6,6],[0,0,8,6,0,6,0,8,0,8],[8,5,5,5,5,5,5,5,5,0]]"
1,1,30.0000,ok,"[[9,4,0,0,4,9,0,0,9,9],[4,9,9,4,9,9,0,0,9,0],[0,0,5,5,5,5,5,5,0,9],[9,4,5,9,0,9,9,5,0,4],[4,4,5,0,0,4,0,5,4,4],[9,4,5,4,9,0,9,5,0,0],[0,9,5,0,4,0,0,5,0,4],[0,4,5,5,5,5,5,5,4,4],[9,0,9,9,4,0,9,0,0,0],[9,9,9,0,9,4,9,9,0,0]]","[[9,4,0,0,4,9,0,0,9,9],[4,9,9,4,9,9,0,0,9,0],[0,0,5,5,5,5,5,5,0,9],[9,4,5,4,0,4,4,5,0,4],[4,4,5,0,0,9,0,5,4,4],[9,4,5,9,4,0,4,5,0,0],[0,9,5,0,9,0,0,5,0,4],[0,4,5,5,5,5,5,5,4,4],[9,0,9,9,4,0,9,0,0,0],[9,9,9,0,9,4,9,9,0,0]]","[[5,4,5,4,9,0,9,5,0,4],[9,0,9,9,4,0,9,0,0,0],[0,9,5,0,4,0,0,5,0,4],[4,4,5,0,0,4,0,5,4,4],[9,4,5,9,0,9,9,5,0,4],[4,9,9,4,9,9,0,0,9,0],[0,0,5,5,5,5,5,5,0,9],[9,4,0,0,4,9,0,0,9,9],[4,9,9,4,9,9,0,0,9,0],[0,0,5,5,5,5,5,5,0,9]]"
1,2,48.0000,ok,"[[0,0,3,3,3,3,2,0,2,0],[3,5,5,5,5,5,5,5,5,3],[3,5,3,2,2,2,2,0,5,2],[0,5,0,3,0,3,2,2,5,2],[3,5,2,0,2,3,2,2,5,3],[3,5,3,3,0,2,3,3,5,3],[3,5,3,3,3,0,3,2,5,2],[0,5,3,0,3,3,3,0,5,3],[0,5,5,5,5,5,5,5,5,3],[2,0,3,3,3,2,3,2,3,0]]","[[0,0,3,3,3,3,2,0,2,0],[3,5,5,5,5,5,5,5,5,3],[3,5,2,3,3,3,3,0,5,2],[0,5,0,2,0,2,3,3,5,2],[3,5,3,0,3,2,3,3,5,3],[3,5,2,2,0,3,2,2,5,3],[3,5,2,2,2,0,2,3,5,2],[0,5,2,0,2,2,2,0,5,3],[0,5,5,5,5,5,5,5,5,3],[2,0,3,3,3,2,3,2,3,0]]","[[3,0,3,3,3,3,2,0,2,0],[5,5,5,5,5,5,5,5,5,3],[5,3,2,2,2,2,0,5,5,2],[5,0,3,0,3,2,2,2,5,2],[5,2,0,2,3,2,3,2,5,3],[5,3,3,0,2,3,3,3,5,2],[5,3,3,3,0,3,2,2,5,3],[5,3,0,3,3,3,0,5,5,3],[5,5,5,5,5,5,5,5,5,3],[0,3,3,3,2,3,2,3,3,0]]"
0,1,26.0000,ok,"[[9,4,0,0,4,9,0,0,9,9],[4,9,9,4,9,9,0,0,9,0],[0,0,5,5,5,5,5,5,0,9],[9,4,5,9,0,9,9,5,0,4],[4,4,5,0,0,4,0,5,4,4],[9,4,5,4,9,0,9,5,0,0],[0,9,5,0,4,0,0,5,0,4],[0,4,5,5,5,5,5,5,4,4],[9,0,9,9,4,0,9,0,0,0],[9,9,9,0,9,4,9,9,0,0]]","[[9,4,0,0,4,9,0,0,9,9],[4,9,9,4,9,9,0,0,9,0],[0,0,5,5,5,5,5,5,0,9],[9,4,5,4,0,4,4,5,0,4],[4,4,5,0,0,9,0,5,4,4],[9,4,5,9,4,0,4,5,0,0],[0,9,5,0,9,0,0,5,0,4],[0,4,5,5,5,5,5,5,4,4],[9,0,9,9,4,0,9,0,0,0],[9,9,9,0,9,4,9,9,0,0]]","[[9,9,9,9,9,9,9,9,9,9],[9,9,9,9,9,9,9,9,9,9],[9,9,9,9,9,9,9,9,9,9],[9,9,9,9,9,9,9,9,9,9],[9,9,9,9,9,9,9,9,9,9],[9,9,9,9,9,9,9,9,9,9],[9,9,9,9,9,9,9,9,9,9],[9,9,9,9,9,9,9,9,9,9],[9,9,9,9,9,9,9,9,9,9],[9,9,9,9,9,9,9,9,9,9]]"
0,2,32.0000,ok,"[[0,0,3,3,3,3,2,0,2,0],[3,5,5,5,5,5,5,5,5,3],[3,5,3,2,2,2,2,0,5,2],[0,5,0,3,0,3,2,2,5,2],[3,5,2,0,2,3,2,2,5,3],[3,5,3,3,0,2,3,3,5,3],[3,5,3,3,3,0,3,2,5,2],[0,5,3,0,3,3,3,0,5,3],[0,5,5,5,5,5,5,5,5,3],[2,0,3,3,3,2,3,2,3,0]]","[[0,0,3,3,3,3,2,0,2,0],[3,5,5,5,5,5,5,5,5,3],[3,5,2,3,3,3,3,0,5,2],[0,5,0,2,0,2,3,3,5,2],[3,5,3,0,3,2,3,3,5,3],[3,5,2,2,0,3,2,2,5,3],[3,5,2,2,2,0,2,3,5,2],[0,5,2,0,2,2,2,0,5,3],[0,5,5,5,5,5,5,5,5,3],[2,0,3,3,3,2,3,2,3,0]]","[[3,5,5,5,5,5,5,5,5,3],[3,5,3,2,2,2,2,0,5,2],[3,5,0,3,0,3,2,2,5,2],[3,5,2,0,2,3,2,2,5,3],[3,5,3,3,0,2,3,3,5,3],[3,5,3,3,3,0,3,2,5,2],[0,5,3,0,3,3,3,0,5,3],[0,5,5,5,5,5,5,5,5,3],[0,0,3,3,3,2,3,2,3,0],[2,0,0,0,0,0,0,0,0,2]]"
3,1,92.0000,ok,"[[9,4,0,0,4,9,0,0,9,9],[4,9,9,4,9,9,0,0,9,0],[0,0,5,5,5,5,5,5,0,9],[9,4,5,9,0,9,9,5,0,4],[4,4,5,0,0,4,0,5,4,4],[9,4,5,4,9,0,9,5,0,0],[0,9,5,0,4,0,0,5,0,4],[0,4,5,5,5,5,5,5,4,4],[9,0,9,9,4,0,9,0,0,0],[9,9,9,0,9,4,9,9,0,0]]","[[9,4,0,0,4,9,0,0,9,9],[4,9,9,4,9,9,0,0,9,0],[0,0,5,5,5,5,5,5,0,9],[9,4,5,4,0,4,4,5,0,4],[4,4,5,0,0,9,0,5,4,4],[9,4,5,9,4,0,4,5,0,0],[0,9,5,0,9,0,0,5,0,4],[0,4,5,5,5,5,5,5,4,4],[9,0,9,9,4,0,9,0,0,0],[9,9,9,0,9,4,9,9,0,0]]","[[9,4,0,0,4,9,0,0,9,9],[4,9,9,4,9,9,0,0,9,0],[0,0,5,5,5,5,5,5,0,9],[9,4,5,9,0,9,9,5,0,4],[4,4,5,0,0,4,0,5,4,4],[9,4,5,4,9,0,9,5,0,0],[0,9,5,0,4,0,0,5,0,4],[0,4,5,5,5,5,5,5,4,4],[9,0,9,9,4,0,9,0,0,0],[9,9,9,0,9,4,9,9,0,0]]"
3,0,68.0000,ok,"[[0,0,8,6,0,6,0,8,0,8],[8,5,5,5,5,5,5,5,5,0],[0,5,0,8,8,6,6,0,5,8],[6,5,6,6,6,8,0,6,5,8],[0,5,6,6,8,6,0,6,5,8],[6,5,8,8,8,6,8,0,5,8],[6,5,6,8,6,8,6,8,5,8],[0,5,6,0,6,8,8,8,5,8],[8,5,5,5,5,5,5,5,5,6],[8,8,8,0,8,8,6,0,6,6]]","[[0,0,8,6,0,6,0,8,0,8],[8,5,5,5,5,5,5,5,5,0],[0,5,0,6,6,8,8,0,5,8],[6,5,8,8,8,6,0,8,5,8],[0,5,8,8,6,8,0,8,5,8],[6,5,6,6,6,8,6,0,5,8],[6,5,8,6,8,6,8,6,5,8],[0,5,8,0,8,6,6,6,5,8],[8,5,5,5,5,5,5,5,5,6],[8,8,8,0,8,8,6,0,6,6]]","[[0,0,8,6,0,6,0,8,0,8],[8,5,5,5,5,5,5,5,5,5],[0,5,0,8,8,6,6,0,5,8],[6,5,6,6,6,8,0,6,5,8],[0,5,6,6,8,6,0,6,5,8],[6,5,8,8,8,6,8,0,5,8],[6,5,6,8,6,8,6,8,5,8],[0,5,6,0,6,8,8,8,5,8],[8,5,5,5,5,5,5,5,5,6],[8,8,8,5,8,8,6,0,6,6]]"
2,1,92.0000,ok,"[[9,4,0,0,4,9,0,0,9,9],[4,9,9,4,9,9,0,0,9,0],[0,0,5,5,5,5,5,5,0,9],[9,4,5,9,0,9,9,5,0,4],[4,4,5,0,0,4,0,5,4,4],[9,4,5,4,9,0,9,5,0,0],[0,9,5,0,4,0,0,5,0,4],[0,4,5,5,5,5,5,5,4,4],[9,0,9,9,4,0,9,0,0,0],[9,9,9,0,9,4,9,9,0,0]]","[[9,4,0,0,4,9,0,0,9,9],[4,9,9,4,9,9,0,0,9,0],[0,0,5,5,5,5,5,5,0,9],[9,4,5,4,0,4,4,5,0,4],[4,4,5,0,0,9,0,5,4,4],[9,4,5,9,4,0,4,5,0,0],[0,9,5,0,9,0,0,5,0,4],[0,4,5,5,5,5,5,5,4,4],[9,0,9,9,4,0,9,0,0,0],[9,9,9,0,9,4,9,9,0,0]]","[[9,4,0,0,4,9,0,0,9,9],[4,9,9,4,9,9,0,0,9,0],[0,0,5,5,5,5,5,5,0,9],[9,4,5,9,0,9,9,5,0,4],[4,4,5,0,0,4,0,5,4,4],[9,4,5,4,9,0,9,5,0,0],[0,9,5,0,4,0,0,5,0,4],[0,4,5,5,5,5,5,5,4,4],[9,0,9,9,4,0,9,0,0,0],[9,9,9,0,9,4,9,9,0,0]]"
2,2,72.0000,ok,"[[0,0,3,3,3,3,2,0,2,0],[3,5,5,5,5,5,5,5,5,3],[3,5,3,2,2,2,2,0,5,2],[0,5,0,3,0,3,2,2,5,2],[3,5,2,0,2,3,2,2,5,3],[3,5,3,3,0,2,3,3,5,3],[3,5,3,3,3,0,3,2,5,2],[0,5,3,0,3,3,3,0,5,3],[0,5,5,5,5,5,5,5,5,3],[2,0,3,3,3,2,3,2,3,0]]","[[0,0,3,3,3,3,2,0,2,0],[3,5,5,5,5,5,5,5,5,3],[3,5,2,3,3,3,3,0,5,2],[0,5,0,2,0,2,3,3,5,2],[3,5,3,0,3,2,3,3,5,3],[3,5,2,2,0,3,2,2,5,3],[3,5,2,2,2,0,2,3,5,2],[0,5,2,0,2,2,2,0,5,3],[0,5,5,5,5,5,5,5,5,3],[2,0,3,3,3,2,3,2,3,0]]","[[0,0,3,3,3,3,2,0,2,0],[3,5,5,5,5,5,5,5,5,3],[3,5,3,2,2,2,2,0,5,2],[0,5,0,3,0,3,2,2,5,2],[3,5,2,0,2,3,2,2,5,3],[3,5,3,3,0,2,3,3,5,3],[3,5,3,3,3,0,3,2,5,2],[0,5,3,0,3,3,3,0,5,3],[0,5,5,5,5,5,5,5,5,3],[2,0,3,3,3,2,3,2,3,0]]"
2,0,37.0000,ok,"[[0,0,8,6,0,6,0,8,0,8],[8,5,5,5,5,5,5,5,5,0],[0,5,0,8,8,6,6,0,5,8],[6,5,6,6,6,8,0,6,5,8],[0,5,6,6,8,6,0,6,5,8],[6,5,8,8,8,6,8,0,5,8],[6,5,6,8,6,8,6,8,5,8],[0,5,6,0,6,8,8,8,5,8],[8,5,5,5,5,5,5,5,5,6],[8,8,8,0,8,8,6,0,6,6]]","[[0,0,8,6,0,6,0,8,0,8],[8,5,5,5,5,5,5,5,5,0],[0,5,0,6,6,8,8,0,5,8],[6,5,8,8,8,6,0,8,5,8],[0,5,8,8,6,8,0,8,5,8],[6,5,6,6,6,8,6,0,5,8],[6,5,8,6,8,6,8,6,5,8],[0,5,8,0,8,6,6,6,5,8],[8,5,5,5,5,5,5,5,5,6],[8,8,8,0,8,8,6,0,6,6]]","[[8,5,5,5,5,5,5,5,5,0],[0,5,0,8,8,6,6,0,5,8],[6,5,6,6,6,8,0,6,5,8],[0,5,6,6,8,6,0,6,5,8],[6,5,8,8,8,6,8,0,5,8],[6,5,6,8,6,8,6,8,5,8],[0,5,6,0,6,8,8,8,5,8],[8,5,5,5,5,5,5,5,5,6],[8,8,8,0,8,8,6,0,6,6],[0,0,0,0,0,0,0,0,0,0]]"
3,2,72.0000,ok,"[[0,0,3,3,3,3,2,0,2,0],[3,5,5,5,5,5,5,5,5,3],[3,5,3,2,2,2,2,0,5,2],[0,5,0,3,0,3,2,2,5,2],[3,5,2,0,2,3,2,2,5,3],[3,5,3,3,0,2,3,3,5,3],[3,5,3,3,3,0,3,2,5,2],[0,5,3,0,3,3,3,0,5,3],[0,5,5,5,5,5,5,5,5,3],[2,0,3,3,3,2,3,2,3,0]]","[[0,0,3,3,3,3,2,0,2,0],[3,5,5,5,5,5,5,5,5,3],[3,5,2,3,3,3,3,0,5,2],[0,5,0,2,0,2,3,3,5,2],[3,5,3,0,3,2,3,3,5,3],[3,5,2,2,0,3,2,2,5,3],[3,5,2,2,2,0,2,3,5,2],[0,5,2,0,2,2,2,0,5,3],[0,5,5,5,5,5,5,5,5,3],[2,0,3,3,3,2,3,2,3,0]]","[[0,0,3,3,3,3,2,0,2,0],[3,5,5,5,5,5,5,5,5,3],[3,5,3,2,2,2,2,0,5,2],[0,5,0,3,0,3,2,2,5,2],[3,5,2,0,2,3,2,2,5,3],[3,5,3,3,0,2,3,3,5,3],[3,5,3,3,3,0,3,2,5,2],[0,5,3,0,3,3,3,0,5,3],[0,5,5,5,5,5,5,5,5,3],[2,0,3,3,3,2,3,2,3,0]]"
5,2,72.0000,ok,"[[0,0,3,3,3,3,2,0,2,0],[3,5,5,5,5,5,5,5,5,3],[3,5,3,2,2,2,2,0,5,2],[0,5,0,3,0,3,2,2,5,2],[3,5,2,0,2,3,2,2,5,3],[3,5,3,3,0,2,3,3,5,3],[3,5,3,3,3,0,3,2,5,2],[0,5,3,0,3,3,3,0,5,3],[0,5,5,5,5,5,5,5,5,3],[2,0,3,3,3,2,3,2,3,0]]","[[0,0,3,3,3,3,2,0,2,0],[3,5,5,5,5,5,5,5,5,3],[3,5,2,3,3,3,3,0,5,2],[0,5,0,2,0,2,3,3,5,2],[3,5,3,0,3,2,3,3,5,3],[3,5,2,2,0,3,2,2,5,3],[3,5,2,2,2,0,2,3,5,2],[0,5,2,0,2,2,2,0,5,3],[0,5,5,5,5,5,5,5,5,3],[2,0,3,3,3,2,3,2,3,0]]","[[0,0,3,3,3,3,2,0,2,0],[3,5,5,5,5,5,5,5,5,3],[3,5,3,2,2,2,2,0,5,2],[0,5,0,3,0,3,2,2,5,2],[3,5,2,0,2,3,2,2,5,3],[3,5,3,3,0,2,3,3,5,3],[3,5,3,3,3,0,3,2,5,2],[0,5,3,0,3,3,3,0,5,3],[0,5,5,5,5,5,5,5,5,3],[2,0,3,3,3,2,3,2,3,0]]"
5,1,92.0000,ok,"[[9,4,0,0,4,9,0,0,9,9],[4,9,9,4,9,9,0,0,9,0],[0,0,5,5,5,5,5,5,0,9],[9,4,5,9,0,9,9,5,0,4],[4,4,5,0,0,4,0,5,4,4],[9,4,5,4,9,0,9,5,0,0],[0,9,5,0,4,0,0,5,0,4],[0,4,5,5,5,5,5,5,4,4],[9,0,9,9,4,0,9,0,0,0],[9,9,9,0,9,4,9,9,0,0]]","[[9,4,0,0,4,9,0,0,9,9],[4,9,9,4,9,9,0,0,9,0],[0,0,5,5,5,5,5,5,0,9],[9,4,5,4,0,4,4,5,0,4],[4,4,5,0,0,9,0,5,4,4],[9,4,5,9,4,0,4,5,0,0],[0,9,5,0,9,0,0,5,0,4],[0,4,5,5,5,5,5,5,4,4],[9,0,9,9,4,0,9,0,0,0],[9,9,9,0,9,4,9,9,0,0]]","[[9,4,0,0,4,9,0,0,9,9],[4,9,9,4,9,9,0,0,9,0],[0,0,5,5,5,5,5,5,0,9],[9,4,5,9,0,9,9,5,0,4],[4,4,5,0,0,4,0,5,4,4],[9,4,5,4,9,0,9,5,0,0],[0,9,5,0,4,0,0,5,0,4],[0,4,5,5,5,5,5,5,4,4],[9,0,9,9,4,0,9,0,0,0],[9,9,9,0,9,4,9,9,0,0]]"
5,0,70.0000,ok,"[[0,0,8,6,0,6,0,8,0,8],[8,5,5,5,5,5,5,5,5,0],[0,5,0,8,8,6,6,0,5,8],[6,5,6,6,6,8,0,6,5,8],[0,5,6,6,8,6,0,6,5,8],[6,5,8,8,8,6,8,0,5,8],[6,5,6,8,6,8,6,8,5,8],[0,5,6,0,6,8,8,8,5,8],[8,5,5,5,5,5,5,5,5,6],[8,8,8,0,8,8,6,0,6,6]]","[[0,0,8,6,0,6,0,8,0,8],[8,5,5,5,5,5,5,5,5,0],[0,5,0,6,6,8,8,0,5,8],[6,5,8,8,8,6,0,8,5,8],[0,5,8,8,6,8,0,8,5,8],[6,5,6,6,6,8,6,0,5,8],[6,5,8,6,8,6,8,6,5,8],[0,5,8,0,8,6,6,6,5,8],[8,5,5,5,5,5,5,5,5,6],[8,8,8,0,8,8,6,0,6,6]]","[[0,0,8,6,0,6,0,8,0,8],[8,5,5,5,5,5,5,5,5,0],[0,5,0,8,8,6,6,0,5,8],[6,5,6,6,6,8,0,6,5,8],[0,5,6,6,8,6,0,6,5,8],[6,5,8,8,8,6,8,0,5,8],[6,5,6,8,6,8,6,8,5,8],[0,5,6,0,6,8,8,8,5,8],[8,5,5,5,5,5,5,5,5,6],[8,8,8,0,8,8,6,0,6,6]]"
4,2,72.0000,ok,"[[0,0,3,3,3,3,2,0,2,0],[3,5,5,5,5,5,5,5,5,3],[3,5,3,2,2,2,2,0,5,2],[0,5,0,3,0,3,2,2,5,2],[3,5,2,0,2,3,2,2,5,3],[3,5,3,3,0,2,3,3,5,3],[3,5,3,3,3,0,3,2,5,2],[0,5,3,0,3,3,3,0,5,3],[0,5,5,5,5,5,5,5,5,3],[2,0,3,3,3,2,3,2,3,0]]","[[0,0,3,3,3,3,2,0,2,0],[3,5,5,5,5,5,5,5,5,3],[3,5,2,3,3,3,3,0,5,2],[0,5,0,2,0,2,3,3,5,2],[3,5,3,0,3,2,3,3,5,3],[3,5,2,2,0,3,2,2,5,3],[3,5,2,2,2,0,2,3,5,2],[0,5,2,0,2,2,2,0,5,3],[0,5,5,5,5,5,5,5,5,3],[2,0,3,3,3,2,3,2,3,0]]","[[0,0,3,3,3,3,2,0,2,0],[3,5,5,5,5,5,5,5,5,3],[3,5,3,2,2,2,2,0,5,2],[0,5,0,3,0,3,2,2,5,2],[3,5,2,0,2,3,2,2,5,3],[3,5,3,3,0,2,3,3,5,3],[3,5,3,3,3,0,3,2,5,2],[0,5,3,0,3,3,3,0,5,3],[0,5,5,5,5,5,5,5,5,3],[2,0,3,3,3,2,3,2,3,0]]"
4,1,92.0000,ok,"[[9,4,0,0,4,9,0,0,9,9],[4,9,9,4,9,9,0,0,9,0],[0,0,5,5,5,5,5,5,0,9],[9,4,5,9,0,9,9,5,0,4],[4,4,5,0,0,4,0,5,4,4],[9,4,5,4,9,0,9,5,0,0],[0,9,5,0,4,0,0,5,0,4],[0,4,5,5,5,5,5,5,4,4],[9,0,9,9,4,0,9,0,0,0],[9,9,9,0,9,4,9,9,0,0]]","[[9,4,0,0,4,9,0,0,9,9],[4,9,9,4,9,9,0,0,9,0],[0,0,5,5,5,5,5,5,0,9],[9,4,5,4,0,4,4,5,0,4],[4,4,5,0,0,9,0,5,4,4],[9,4,5,9,4,0,4,5,0,0],[0,9,5,0,9,0,0,5,0,4],[0,4,5,5,5,5,5,5,4,4],[9,0,9,9,4,0,9,0,0,0],[9,9,9,0,9,4,9,9,0,0]]","[[9,4,0,0,4,9,0,0,9,9],[4,9,9,4,9,9,0,0,9,0],[0,0,5,5,5,5,5,5,0,9],[9,4,5,9,0,9,9,5,0,4],[4,4,5,0,0,4,0,5,4,4],[9,4,5,4,9,0,9,5,0,0],[0,9,5,0,4,0,0,5,0,4],[0,4,5,5,5,5,5,5,4,4],[9,0,9,9,4,0,9,0,0,0],[9,9,9,0,9,4,9,9,0,0]]"
4,0,69.0000,ok,"[[0,0,8,6,0,6,0,8,0,8],[8,5,5,5,5,5,5,5,5,0],[0,5,0,8,8,6,6,0,5,8],[6,5,6,6,6,8,0,6,5,8],[0,5,6,6,8,6,0,6,5,8],[6,5,8,8,8,6,8,0,5,8],[6,5,6,8,6,8,6,8,5,8],[0,5,6,0,6,8,8,8,5,8],[8,5,5,5,5,5,5,5,5,6],[8,8,8,0,8,8,6,0,6,6]]","[[0,0,8,6,0,6,0,8,0,8],[8,5,5,5,5,5,5,5,5,0],[0,5,0,6,6,8,8,0,5,8],[6,5,8,8,8,6,0,8,5,8],[0,5,8,8,6,8,0,8,5,8],[6,5,6,6,6,8,6,0,5,8],[6,5,8,6,8,6,8,6,5,8],[0,5,8,0,8,6,6,6,5,8],[8,5,5,5,5,5,5,5,5,6],[8,8,8,0,8,8,6,0,6,6]]","[[8,0,8,6,0,6,0,8,0,8],[8,5,5,5,5,5,5,5,5,0],[0,5,0,8,8,6,6,0,5,8],[6,5,6,6,6,8,0,6,5,8],[0,5,6,6,8,6,0,6,5,8],[6,5,8,8,8,6,8,0,5,8],[6,5,6,8,6,8,6,8,5,8],[0,5,6,0,6,8,8,8,5,8],[8,5,5,5,5,5,5,5,5,6],[8,8,8,0,8,8,6,0,6,6]]"
